iter	Passed	Remaining
469	692	781
470	693	779
471	694	776
472	695	774
473	695	772
474	696	769
475	697	768
476	699	767
477	702	766
478	703	764
479	704	762
480	704	760
481	705	758
482	706	756
483	707	754
484	708	752
485	709	750
486	709	747
487	710	745
488	711	743
489	712	741
490	714	740
491	716	739
492	717	738
493	718	736
494	719	734
495	720	731
496	721	730
497	722	728
498	723	725
499	723	723
500	724	721
501	725	719
502	726	717
503	726	715
504	730	716
505	732	715
506	734	713
507	735	712
508	736	710
509	737	708
510	738	706
511	739	704
512	740	702
513	740	700
514	742	699
515	744	698
516	746	697
517	747	695
518	748	693
519	749	691
520	750	689
521	751	688
522	752	686
523	753	684
524	754	682
525	754	680
526	755	678
527	756	676
528	759	675
529	760	674
530	761	672
531	762	670
532	763	668
533	764	666
534	765	664
535	765	662
536	766	660
537	767	658
538	767	656
539	768	654
540	769	652
541	770	651
542	772	650
543	774	649
544	776	648
545	777	646
546	778	644
547	779	642
548	780	640
549	781	639
550	781	637
551	782	635
552	783	633
553	784	631
554	785	629
555	785	627
556	787	626
557	789	625
558	791	624
559	792	622
560	792	620
561	793	618
562	794	616
563	795	614
564	796	612
565	796	611
566	797	609
567	798	607
568	799	605
569	800	603
570	801	601
571	803	600
572	805	599
573	806	598
574	806	596
575	807	594
576	808	592
577	809	590
578	810	589
579	810	587
580	811	585
581	812	583
582	813	581
583	813	579
584	814	577
585	815	576
586	816	574
587	819	573
588	820	572
589	821	571
590	822	569
591	823	567
592	824	566
593	826	564
594	826	562
595	827	561
596	828	559
597	829	557
598	829	555
599	831	554
600	833	553
601	835	552
602	836	550
603	836	548
604	837	546
605	838	545
606	839	543
607	840	541
608	841	539
609	841	538
610	842	536
611	843	534
612	844	532
613	844	531
614	846	529
615	848	528
616	849	527
617	850	525
618	851	523
619	852	522
620	852	520
621	853	518
622	854	517
623	855	515
624	855	513
625	856	511
626	857	510
627	858	508
628	859	506
629	860	505
630	862	504
631	863	502
632	864	501
633	865	499
634	866	497
635	867	496
636	867	494
637	868	492
638	869	491
639	869	489
640	870	487
641	871	485
642	872	484
643	873	482
644	874	481
645	875	479
646	877	478
647	878	477
648	879	475
649	880	474
650	881	472
651	882	470
652	883	469
653	884	468
654	885	466
655	886	464
656	887	463
657	888	461
658	889	460
659	890	458
660	893	458
661	895	457
662	896	455
663	897	454
664	898	452
665	898	450
666	899	449
667	900	447
668	901	445
669	902	444
670	902	442
671	903	441
672	905	439
673	906	438
674	908	437
675	909	435
676	909	434
677	910	432
678	911	430
679	912	429
680	912	427
681	913	425
682	914	424
683	915	422
684	915	421
685	916	419
686	917	418
687	920	417
688	921	416
689	923	414
690	924	413
691	925	411
692	926	410
693	927	408
694	928	407
695	929	405
696	930	404
697	931	402
698	932	401
699	933	400
700	936	399
701	938	398
702	939	396
703	940	395
704	941	393
705	942	392
706	943	390
707	944	389
708	944	387
709	945	386
710	946	384
711	947	383
712	949	382
713	951	380
714	952	379
715	953	378
716	954	376
717	955	375
718	956	373
719	957	372
720	957	370
721	958	369
722	959	367
723	960	366
724	961	364
725	961	363
726	962	361
727	964	360
728	965	359
729	967	357
730	968	356
731	969	354
732	970	353
733	971	352
734	972	350
735	972	348
736	973	347
737	974	345
738	975	344
739	976	342
740	976	341
741	977	339
742	978	338
743	981	337
744	982	336
745	983	334
746	984	333
747	984	331
748	985	330
749	986	328
750	987	327
751	987	325
752	988	324
753	989	322
754	990	321
755	990	319
756	991	318
757	992	317
758	994	315
759	995	314
760	996	312
761	997	311
762	998	310
763	999	308
764	999	307
765	1000	305
766	1001	304
767	1002	302
768	1002	301
769	1003	299
770	1004	298
771	1005	296
772	1006	295
773	1006	294
774	1022	296
775	1022	295
776	1023	293
777	1025	292
778	1026	291
779	1028	289
780	1029	288
781	1030	287
782	1031	285
783	1032	284
784	1033	283
785	1034	281
786	1035	280
787	1035	278
788	1036	277
789	1037	275
790	1038	274
791	1039	273
792	1042	272
793	1043	270
794	1044	269
795	1044	267
796	1045	266
797	1046	264
798	1047	263
799	1047	261
800	1048	260
801	1049	259
802	1050	257
803	1050	256
804	1051	254
805	1052	253
806	1053	251
807	1054	250
808	1056	249
809	1057	248
810	1058	246
811	1058	245
812	1059	243
813	1060	242
814	1061	240
815	1061	239
816	1062	238
817	1063	236
818	1064	235
819	1064	233
820	1065	232
821	1066	230
822	1067	229
823	1069	228
824	1071	227
825	1072	225
826	1073	224
827	1074	223
828	1075	221
829	1076	220
830	1077	219
831	1078	217
832	1079	216
833	1080	214
834	1081	213
835	1081	212
836	1082	210
837	1084	209
838	1085	208
839	1086	207
840	1087	205
841	1088	204
842	1089	202
843	1090	201
844	1091	200
845	1092	198
846	1093	197
847	1094	196
848	1095	194
849	1096	193
850	1099	192
851	1101	191
852	1102	190
853	1103	188
854	1104	187
855	1105	185
856	1106	184
857	1107	183
858	1107	181
859	1108	180
860	1109	179
861	1110	177
